source,original_column,snake_case
parcel_master,REM_MBLU_MAP,rem_mblu_map
parcel_master,REM_MBLU_BLOCK,rem_mblu_block
parcel_master,REM_MBLU_LOT,rem_mblu_lot
parcel_master,REM_MBLU_UNIT,rem_mblu_unit
parcel_master,REM_PRCL_LOCN,rem_prcl_locn
parcel_master,REM_OWN_NAME,rem_own_name
parcel_master,MAD_MAIL_ADDR1,mad_mail_addr1
parcel_master,MAD_MAIL_CITY,mad_mail_city
parcel_master,MAD_MAIL_STATE,mad_mail_state
parcel_master,MAD_MAIL_ZIP,mad_mail_zip
parcel_master,REM_USE_CODE,rem_use_code
parcel_master,PRC_TTL_LND_AREA_ACRES,prc_ttl_lnd_area_acres
parcel_master,PRC_TTL_ASSESS_LND,prc_ttl_assess_lnd
parcel_master,PRC_TTL_ASSESS_BLDG,prc_ttl_assess_bldg
parcel_master,PRC_TTL_ASSESS,prc_ttl_assess
land,REM_MBLU_MAP,rem_mblu_map
land,REM_MBLU_BLOCK,rem_mblu_block
land,REM_MBLU_LOT,rem_mblu_lot
land,REM_MBLU_UNIT,rem_mblu_unit
land,REM_PRCL_LOCN,rem_prcl_locn
land,PRC_TTL_LND_AREA_ACRES,prc_ttl_lnd_area_acres
land,LND_FRONTAGE,lnd_frontage
land,LND_DEPTH,lnd_depth
land,LND_SITE_IDX,lnd_site_idx
land,LND_OCC,lnd_occ
land,LND_OCC_DESC,lnd_occ_desc
land,LND_ASSESS_VAL,lnd_assess_val
land,LND_LINE_NUM,lnd_line_num
land,LND_BLDG_NUM,lnd_bldg_num
building,REM_MBLU_MAP,rem_mblu_map
building,REM_MBLU_BLOCK,rem_mblu_block
building,REM_MBLU_LOT,rem_mblu_lot
building,REM_MBLU_UNIT,rem_mblu_unit
building,VNS_AYB,vns_ayb
building,VNS_EYB,vns_eyb
building,VNS_STYLE,vns_style
building,VNS_STYLE_DESC,vns_style_desc
building,VNS_OCC,vns_occ
building,VNS_OCC_DESC,vns_occ_desc
building,VNS_GRADE,vns_grade
building,VNS_GRADE_DESC,vns_grade_desc
building,VNS_BLDG_AREA_LIVING,vns_bldg_area_living
building,VNS_BLDG_AREA_GROSS,vns_bldg_area_gross
building,VNS_BLDG_AREA_EFFECTIVE,vns_bldg_area_effective
building,VNS_PCT_GOOD,vns_pct_good
building,CNS_ASSESS_VAL,cns_assess_val
